"Hot Spots - Method","Self time [%]","Self time","Invocations"
"me.prettyprint.cassandra.model.ColumnSliceImpl.<init>(java.util.List, me.prettyprint.hector.api.Serializer, me.prettyprint.hector.api.Serializer)","0.007480802","151.169 ms","25449"
"org.apache.thrift.transport.TFramedTransport.getBytesRemainingInBuffer()","0.0074667977","150.886 ms","1374246"
"org.eclipse.jetty.util.LazyList.size(Object)","0.0074306726","150.156 ms","411678"
"org.eclipse.jetty.io.BufferCache.get(String)","0.007420775","149.956 ms","599371"
"org.eclipse.jetty.server.session.SessionHandler.doHandle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.00733457","148.214 ms","137226"
"org.eclipse.jetty.util.Utf8StringBuilder.checkState()","0.0073289284","148.1 ms","411678"
"org.eclipse.jetty.server.AsyncContinuation.isUncompleted()","0.0073019587","147.555 ms","273956"
"scala.Right.<init>(Object)","0.007279195","147.095 ms","411234"
"org.apache.thrift.protocol.TBinaryProtocol.readByte()","0.0072745928","147.002 ms","534429"
"org.eclipse.jetty.server.AsyncContinuation.isAsync()","0.0072449995","146.404 ms","413831"
"org.eclipse.jetty.http.HttpGenerator.completeHeader(org.eclipse.jetty.http.HttpFields, boolean)","0.0071882885","145.258 ms","25448"
"org.eclipse.jetty.io.nio.ChannelEndPoint.isOutputShutdown()","0.0071374658","144.231 ms","137059"
"org.eclipse.jetty.server.nio.SelectChannelConnector.customize(org.eclipse.jetty.io.EndPoint, org.eclipse.jetty.server.Request)","0.007058238","142.63 ms","137226"
"org.apache.log4j.Category.forcedLog(String, org.apache.log4j.Priority, Object, Throwable)","0.0069061173","139.556 ms","145754"
"org.eclipse.jetty.webapp.WebAppContext.isProtectedTarget(String)","0.0067640916","136.686 ms","137226"
"org.eclipse.jetty.http.PathMap.getMatch(String)","0.0067511755","136.425 ms","137225"
"org.apache.thrift.transport.TFramedTransport.consumeBuffer(int)","0.0067466227","136.333 ms","1348797"
"org.eclipse.jetty.util.Utf8StringBuilder.reset()","0.006724354","135.883 ms","411678"
"sbt.AbstractLogger$$anonfun$log$2.apply()","0.006717228","135.739 ms","1235116"
"org.apache.cassandra.thrift.Cassandra$Client.send_get_slice(java.nio.ByteBuffer, org.apache.cassandra.thrift.ColumnParent, org.apache.cassandra.thrift.SlicePredicate, org.apache.cassandra.thrift.ConsistencyLevel)","0.006688328","135.155 ms","25449"
"org.eclipse.jetty.http.HttpFields.clear()","0.006686893","135.126 ms","274454"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher.dispatch(akka.dispatch.MessageInvocation)","0.0066115744","133.604 ms","189240"
"cc.spray.connectors.ConnectorServlet.rebuildUri(javax.servlet.http.HttpServletRequest)","0.006557387","132.509 ms","137244"
"org.eclipse.jetty.http.HttpGenerator.complete()","0.0065240827","131.836 ms","137231"
"org.eclipse.jetty.io.nio.ChannelEndPoint.isBlocking()","0.006464303","130.628 ms","324565"
"cc.spray.directives.Combi.apply(String)","0.0064584143","130.509 ms","127245"
"cc.spray.http.parser.BasicRules$$anonfun$Token$1$$anonfun$apply$1.apply(Object)","0.006452179","130.383 ms","274004"
"scala.collection.mutable.HashMap.get(Object)","0.0064490116","130.319 ms","437148"
"scala.collection.JavaConversions$.asScalaBuffer(java.util.List)","0.006441539","130.168 ms","411231"
"org.slf4j.helpers.MessageFormatter.format(String, Object, Object)","0.0064338194","130.012 ms","144921"
"org.eclipse.jetty.server.HttpConnection.completeResponse()","0.006423378","129.801 ms","137228"
"org.eclipse.jetty.http.PathMap.isPathWildcardMatch(String, String)","0.006394428","129.216 ms","274452"
"org.parboiled.scala.Input$$anonfun$init$default$2$1.apply(Object)","0.006370279","128.728 ms","411238"
"org.eclipse.jetty.http.AbstractGenerator.reset(boolean)","0.006348406","128.286 ms","137228"
"org.parboiled.common.Preconditions.checkArgument(boolean, Object)","0.006320347","127.719 ms","1919405"
"org.eclipse.jetty.http.HttpParser.reset()","0.006265863","126.618 ms","137226"
"org.parboiled.scala.Input$.init$default$2()","0.00626037","126.507 ms","411237"
"cc.spray.directives.Combi$$anonfun$apply$3.apply(scala.Tuple2)","0.0062363194","126.021 ms","127245"
"me.prettyprint.cassandra.connection.HConnectionManager.operateWithFailover(me.prettyprint.cassandra.service.Operation)","0.0062362202","126.019 ms","25449"
"scala.collection.mutable.HashTable$class.index(scala.collection.mutable.HashTable, int)","0.0062114773","125.519 ms","437144"
"org.eclipse.jetty.io.nio.SelectorManager$SelectSet.scheduleTimeout(org.eclipse.jetty.util.thread.Timeout.Task, long)","0.0061574876","124.428 ms","136629"
"akka.dispatch.LazyExecutorServiceWrapper.execute(Runnable)","0.0061471947","124.22 ms","189211"
"org.eclipse.jetty.http.HttpFields$Field.getValue()","0.0061404645","124.084 ms","548465"
"akka.actor.LocalActorRef.$bang(Object, akka.actor.UntypedChannel)","0.0060832086","122.927 ms","189241"
"org.eclipse.jetty.http.HttpFields.remove(org.eclipse.jetty.io.Buffer)","0.006028328","121.818 ms","136773"
"org.eclipse.jetty.server.Request.getQueryString()","0.006003536","121.317 ms","137252"
"org.parboiled.buffers.DefaultInputBuffer.test(int, char[])","0.0059887394","121.018 ms","548926"
"org.apache.log4j.Category.log(String, org.apache.log4j.Priority, Object, Throwable)","0.005986067","120.964 ms","145755"
"scala.collection.JavaConversions$JEnumerationWrapper.toList()","0.005941727","120.068 ms","685686"
"cc.spray.directives.MiscDirectives$RouteConcatenation$$anonfun$$tilde$1.apply(cc.spray.RequestContext)","0.0059097097","119.421 ms","127241"
"org.eclipse.jetty.util.StringUtil.startsWithIgnoreCase(String, String)","0.005839142","117.995 ms","274452"
"org.eclipse.jetty.http.HttpFields$3.nextElement()","0.0058137556","117.482 ms","548466"
"org.eclipse.jetty.util.StringMap.get(String)","0.0057435837","116.064 ms","599371"
"org.eclipse.jetty.io.View.update(org.eclipse.jetty.io.Buffer)","0.005737893","115.949 ms","136781"
"org.apache.thrift.protocol.TBinaryProtocol.readI32()","0.005726511","115.719 ms","254490"
"cc.spray.http.MediaRange.toString()","0.0057208203","115.604 ms","26001"
"scala.collection.mutable.HashMap.elemHashCode(Object)","0.0057148817","115.484 ms","437144"
"org.eclipse.jetty.server.AsyncContinuation.recycle()","0.0057083","115.351 ms","137226"
"org.apache.thrift.protocol.TBinaryProtocol.readFieldBegin()","0.005705331","115.291 ms","508980"
"org.apache.thrift.transport.TFramedTransport.write(byte[], int, int)","0.005662278","114.421 ms","992511"
"cc.spray.http.parser.AcceptHeader$$anonfun$MediaRangeDef$1$$anonfun$apply$7.apply(String, String)","0.0056378315","113.927 ms","137233"
"org.eclipse.jetty.io.nio.ChannelEndPoint.getRemotePort()","0.0056331796","113.833 ms","273509"
"cc.spray.http.parser.SimpleHeaders$$anonfun$HOST$1$$anonfun$apply$4.apply(Object)","0.0056235795","113.639 ms","137234"
"com.example.EvseService$$anonfun$2.apply(long)","0.0056175916","113.518 ms","25449"
"org.eclipse.jetty.server.CookieCutter.parseFields()","0.005567759","112.511 ms","137224"
"cc.spray.http.parser.AcceptHeader$$anonfun$MediaRangeDef$1$$anonfun$apply$7.apply(Object, Object)","0.0055242106","111.631 ms","137234"
"org.parboiled.scala.ParsingResult$.apply(org.parboiled.support.ParsingResult)","0.005513769","111.42 ms","411234"
"org.eclipse.jetty.server.Request.getRemoteAddr()","0.005488482","110.909 ms","137230"
"org.parboiled.scala.rules.Rule$$anonfun$ok$2.apply(Object)","0.0054782876","110.703 ms","137234"
"org.eclipse.jetty.http.HttpURI.toString()","0.0054775453","110.688 ms","273959"
"org.eclipse.jetty.http.HttpFields$Field.<init>(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer, org.eclipse.jetty.http.HttpFields.1)","0.0054508224","110.148 ms","736118"
"cc.spray.RequestContext.copy(cc.spray.http.HttpRequest, cc.spray.http.HttpIp, scala.Function1, String)","0.005424793","109.622 ms","280491"
"org.eclipse.jetty.http.PathMap.pathInfo(String, String)","0.0054134107","109.392 ms","137226"
"org.slf4j.helpers.MessageFormatter.deeplyAppendParameter(StringBuffer, Object, java.util.Map)","0.0054007424","109.136 ms","289912"
"org.eclipse.jetty.io.AbstractBuffer.peek(int, int)","0.005353384","108.179 ms","137229"
"org.parboiled.parserunners.AbstractParseRunner.withParseErrors(java.util.List)","0.0053524934","108.161 ms","822474"
"org.eclipse.jetty.io.nio.ChannelEndPoint.isOpen()","0.0053124093","107.351 ms","577198"
"scala.runtime.BoxesRunTime.unboxToBoolean(Object)","0.005273315","106.561 ms","1782367"
"scala.runtime.BoxesRunTime.unboxToInt(Object)","0.0052585187","106.262 ms","1534202"
"org.eclipse.jetty.io.BufferCache.lookup(String)","0.005257034","106.232 ms","599357"
"org.eclipse.jetty.server.Request.setContext(org.eclipse.jetty.server.handler.ContextHandler.Context)","0.0052499576","106.089 ms","274447"
"org.eclipse.jetty.server.Request.getRequestURI()","0.00523813","105.85 ms","274478"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher$$anon$4.run()","0.0051699877","104.473 ms","119990"
"cc.spray.http.HttpHeaders$Accept.value()","0.005159348","104.258 ms","26009"
"org.parboiled.support.DefaultValueStack$Element.<init>(Object, org.parboiled.support.DefaultValueStack.Element)","0.005155686","104.184 ms","1919407"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher.dispatchMessage(akka.dispatch.MessageInvocation)","0.005153459","104.139 ms","189241"
"cc.spray.http.HttpHeaders$$anonfun$parseFromRaw$1.apply(Object)","0.005112534","103.312 ms","548472"
"cc.spray.connectors.ConnectorServlet.responderFor(javax.servlet.http.HttpServletRequest, scala.Function1)","0.0049731308","100.495 ms","137234"
"org.eclipse.jetty.io.AbstractBuffer.put(byte)","0.0049195867","99.413 ms","661426"
"org.eclipse.jetty.http.HttpFields$4.nextElement()","0.004913203","99.284 ms","548466"
"org.eclipse.jetty.http.HttpURI.parse(byte[], int, int)","0.004891825","98.852 ms","137226"
"org.eclipse.jetty.server.CookieCutter.getCookies()","0.00487203","98.452 ms","137224"
"org.eclipse.jetty.http.HttpGenerator.reset(boolean)","0.0048439717","97.885 ms","137228"
"scala.collection.mutable.HashMap.elemEquals(Object, Object)","0.0048316","97.635 ms","462592"
"org.apache.thrift.protocol.TBinaryProtocol.writeString(String)","0.0048266514","97.535 ms","50898"
"org.eclipse.jetty.io.AbstractBuffer.hasContent()","0.0048092813","97.184 ms","551592"
"org.eclipse.jetty.servlet.ServletHandler.getHolderEntry(String)","0.00478919","96.778 ms","137226"
"cc.spray.directives.MiscDirectives$RouteConcatenation$$anonfun$$tilde$1$$anonfun$apply$5.apply(cc.spray.RoutingResult)","0.004774295","96.477 ms","127240"
"org.parboiled.scala.rules.Rule$$anonfun$ok$2.apply(Object)","0.0047299056","95.58 ms","137234"
"org.eclipse.jetty.http.AbstractGenerator.isComplete()","0.004718672","95.353 ms","411706"
"org.eclipse.jetty.io.View.equals(Object)","0.004640236","93.768 ms","137229"
"org.eclipse.jetty.http.AbstractGenerator.isCommitted()","0.0046168785","93.296 ms","815347"
"org.eclipse.jetty.server.Request.getHeaders(String)","0.0045636315","92.22 ms","548466"
"scala.collection.JavaConversions$JListWrapper.toList()","0.004521172","91.362 ms","411231"
"akka.dispatch.ExecutableMailbox$class.run(akka.dispatch.ExecutableMailbox)","0.004511225","91.161 ms","119990"
"org.eclipse.jetty.server.Request.getServletPath()","0.004444765","89.818 ms","686130"
"org.apache.thrift.protocol.TBinaryProtocol.readI16()","0.0044166073","89.249 ms","330837"
"org.eclipse.jetty.io.View.buffer()","0.004380878","88.527 ms","548915"
"org.eclipse.jetty.io.AbstractBuffer.sliceFromMark()","0.004372812","88.364 ms","137229"
"org.eclipse.jetty.server.Request.getHeaderNames()","0.004366131","88.229 ms","137232"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher$$anon$4.dequeue()","0.0043545514","87.995 ms","240035"
"org.eclipse.jetty.http.HttpFields$Field.putTo(org.eclipse.jetty.io.Buffer)","0.0042954152","86.8 ms","50878"
"org.eclipse.jetty.server.AsyncContinuation.cancelTimeout()","0.004295366","86.799 ms","162577"
"org.eclipse.jetty.http.HttpFields$4.nextElement()","0.004270326","86.293 ms","548463"
"cc.spray.connectors.ConnectorServlet.httpContent(java.io.InputStream, scala.Option, scala.Option)","0.0042649317","86.184 ms","137222"
"scala.collection.mutable.HashMap.index(int)","0.004252956","85.942 ms","437144"
"org.eclipse.jetty.io.nio.SelectChannelEndPoint.scheduleIdle()","0.0042342995","85.565 ms","273997"
"org.eclipse.jetty.io.AbstractBuffer.mark()","0.0042214827","85.306 ms","1508603"
"akka.actor.ActorRef$class.actor(akka.actor.ActorRef)","0.0042072306","85.018 ms","120058"
"scala.collection.mutable.HashTable$class.elemEquals(scala.collection.mutable.HashTable, Object, Object)","0.004204311","84.959 ms","462582"
"org.eclipse.jetty.http.HttpParser.isMoreInBuffer()","0.004199461","84.861 ms","139969"
"org.eclipse.jetty.io.nio.ChannelEndPoint.getLocalPort()","0.0041788253","84.444 ms","273509"
"org.parboiled.scala.Input.inputBuffer()","0.0041741244","84.349 ms","411237"
"org.parboiled.buffers.DefaultInputBuffer.<init>(char[])","0.0041505685","83.873 ms","411238"
"org.apache.cassandra.thrift.Column.read(org.apache.thrift.protocol.TProtocol)","0.00414948","83.851 ms","76347"
"akka.dispatch.MessageDispatcher$class.dispatchMessage(akka.dispatch.MessageDispatcher, akka.dispatch.MessageInvocation)","0.004076537","82.377 ms","189240"
"org.apache.thrift.protocol.TBinaryProtocol.readBinary()","0.004054862","81.939 ms","152694"
"org.eclipse.jetty.server.Request.isAsyncStarted()","0.0040530805","81.903 ms","139371"
"org.eclipse.jetty.util.thread.Timeout$Task.link(org.eclipse.jetty.util.thread.Timeout.Task)","0.0040402142","81.643 ms","136629"
"org.eclipse.jetty.util.thread.Timeout$Task.cancel()","0.0040071574","80.975 ms","162576"
"me.prettyprint.cassandra.model.HColumnImpl.getName()","0.0039990414","80.811 ms","152694"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher.getMailbox(akka.actor.ActorRef)","0.0039977054","80.784 ms","189240"
"org.parboiled.parserunners.BasicParseRunner.<init>(org.parboiled.Rule)","0.0039889957","80.608 ms","411237"
"org.eclipse.jetty.http.HttpURI.getDecodedPath()","0.0038858168","78.523 ms","137226"
"scala.runtime.BoxesRunTime.equalsNumNum(Number, Number)","0.0038791855","78.389 ms","101800"
"scala.collection.TraversableOnce$class.nonEmpty(scala.collection.TraversableOnce)","0.0038788887","78.383 ms","120057"
"org.eclipse.jetty.server.AsyncContinuation.isComplete()","0.0038567684","77.936 ms","136733"
"org.eclipse.jetty.server.Response.complete()","0.0038461287","77.721 ms","137228"
"org.eclipse.jetty.util.thread.Timeout$Task.access$100(org.eclipse.jetty.util.thread.Timeout.Task, org.eclipse.jetty.util.thread.Timeout.Task)","0.0038458318","77.715 ms","136629"
"org.parboiled.support.DefaultValueStack.peek(int, org.parboiled.support.DefaultValueStack.Element)","0.0038001065","76.791 ms","411232"
"org.eclipse.jetty.io.ByteArrayBuffer$CaseInsensitive.equals(Object)","0.0037849636","76.485 ms","137229"
"org.apache.thrift.transport.TTransport.readAll(byte[], int, int)","0.0037792725","76.37 ms","76347"
"org.eclipse.jetty.io.AbstractBuffers.isBuffer(org.eclipse.jetty.io.Buffer)","0.0037786788","76.358 ms","137215"
"cc.spray.RequestContext.withResponder(scala.Function1)","0.0037643772","76.069 ms","203592"
"org.parboiled.support.DefaultValueStack.peek()","0.0037571522","75.923 ms","411232"
"org.eclipse.jetty.util.AttributesMap.getAttribute(String)","0.0037535396","75.85 ms","136771"
"me.prettyprint.cassandra.model.thrift.ThriftSliceQuery$1.doInKeyspace(me.prettyprint.cassandra.service.KeyspaceService)","0.0037363186","75.502 ms","25449"
"org.apache.cassandra.thrift.Cassandra$get_slice_args.write(org.apache.thrift.protocol.TProtocol)","0.0037261737","75.297 ms","25449"
"org.eclipse.jetty.server.nio.SelectChannelConnector$SelectChannelHttpConnection.scheduleTimeout(org.eclipse.jetty.util.thread.Timeout.Task, long)","0.0037234025","75.241 ms","136629"
"cc.spray.http.parser.HttpParser$.rules()","0.0037199385","75.171 ms","548471"
"me.prettyprint.cassandra.connection.HThriftClient.isOpen()","0.0037188004","75.148 ms","50898"
"org.eclipse.jetty.io.AbstractBuffer.<init>(int, boolean)","0.0037100413","74.971 ms","576200"
"sbt.ConsoleLogger.messageColor(scala.Enumeration.Value)","0.0037097938","74.966 ms","1235116"
"org.eclipse.jetty.http.HttpParser.isState(int)","0.0037069237","74.908 ms","556331"
"org.apache.cassandra.thrift.Cassandra$get_slice_result.read(org.apache.thrift.protocol.TProtocol)","0.0036981646","74.731 ms","25449"
"org.parboiled.support.DefaultValueStack.peek(int)","0.0036758462","74.28 ms","411232"
"akka.actor.LocalActorRef.isRunning()","0.003670947","74.181 ms","189241"
"akka.actor.ScalaActorRef$class.$bang(akka.actor.ScalaActorRef, Object, akka.actor.UntypedChannel)","0.0036435316","73.627 ms","189241"
"org.eclipse.jetty.util.LazyList.get(Object, int)","0.0036097819","72.945 ms","274452"
"sbt.AbstractLogger$$anonfun$log$2.apply()","0.0035940453","72.627 ms","1235116"
"org.apache.thrift.protocol.TBinaryProtocol.writeFieldBegin(org.apache.thrift.protocol.TField)","0.0035927587","72.601 ms","254490"
"org.apache.thrift.transport.TMemoryInputTransport.getBytesRemainingInBuffer()","0.0035884038","72.513 ms","1425144"
"org.parboiled.scala.Input$$anonfun$init$default$2$1.<init>()","0.0035860285","72.465 ms","411237"
"scala.collection.mutable.HashMap.improve(int)","0.0035604439","71.948 ms","437135"
"akka.event.slf4j.Slf4jEventHandler.apply(Object)","0.0035376307","71.487 ms","68600"
"akka.util.SimpleLock.locked()","0.0035079885","70.888 ms","429257"
"org.eclipse.jetty.http.HttpFields$4.hasMoreElements()","0.0034827504","70.378 ms","1096932"
"org.eclipse.jetty.http.HttpHeaderValues.hasKnownValues(int)","0.0034259402","69.23 ms","599345"
"org.eclipse.jetty.util.LazyList.toArray(Object, Class)","0.003413123","68.971 ms","137224"
"org.eclipse.jetty.server.AsyncContinuation.isAsyncStarted()","0.0034055023","68.817 ms","139371"
"cc.spray.http.HttpHeaders$Host.<init>(String, scala.Option)","0.00340476","68.802 ms","137234"
"akka.actor.ActorRef$class.isRunning(akka.actor.ActorRef)","0.00340476","68.802 ms","189241"
"org.eclipse.jetty.http.HttpGenerator.addContent(org.eclipse.jetty.io.Buffer, boolean)","0.0033905574","68.515 ms","25440"
"org.apache.thrift.protocol.TBinaryProtocol.readString()","0.00337586","68.218 ms","25449"
"org.eclipse.jetty.server.HttpOutput.write(org.eclipse.jetty.io.Buffer)","0.0033294416","67.28 ms","25445"
"scala.collection.JavaConversions$JListWrapper.seq()","0.003310142","66.89 ms","822462"
"org.eclipse.jetty.util.AttributesMap.clearAttributes()","0.00329589","66.602 ms","137226"
"cc.spray.http.parser.HttpParser$.getMediaRange(String, String)","0.0032948507","66.581 ms","137231"
"org.apache.thrift.transport.TFramedTransport.getBufferPosition()","0.0032733737","66.147 ms","1348797"
"cc.spray.http.parser.HttpParser$.parse(org.parboiled.scala.rules.Rule1, String)","0.0032549647","65.775 ms","411237"
"akka.util.SimpleLock.tryLock()","0.0032476408","65.627 ms","189244"
"akka.dispatch.MessageInvocation.invoke()","0.00324482","65.57 ms","120060"
"org.eclipse.jetty.server.Request.getSession(boolean)","0.0032287864","65.246 ms","411673"
"me.prettyprint.cassandra.service.KeyspaceServiceImpl$7.execute(org.apache.cassandra.thrift.Cassandra.Client)","0.0032258173","65.186 ms","25449"
"scala.collection.JavaConversions$JEnumerationWrapper.<init>(java.util.Enumeration)","0.0032196315","65.061 ms","685678"
"org.eclipse.jetty.server.Response.addHeader(String, String)","0.0032046866","64.759 ms","50891"
"org.apache.cassandra.thrift.ColumnOrSuperColumn.read(org.apache.thrift.protocol.TProtocol)","0.003201668","64.698 ms","76347"
"akka.actor.Actor$class.gd12$1(akka.actor.Actor, Object, scala.collection.immutable.Stack)","0.0031639594","63.936 ms","120058"
"akka.util.ListenerManagement$class.notifyListeners(akka.util.ListenerManagement, scala.Function0)","0.0031612376","63.881 ms","26023"
"org.apache.cassandra.thrift.Cassandra$Client.recv_get_slice()","0.0031498556","63.651 ms","25449"
"org.eclipse.jetty.io.ByteArrayBuffer.capacity()","0.0031367913","63.387 ms","288723"
"org.apache.thrift.transport.TMemoryInputTransport.consumeBuffer(int)","0.0031280818","63.211 ms","1374246"
"cc.spray.RequestContext.<init>(cc.spray.http.HttpRequest, cc.spray.http.HttpIp, scala.Function1, String)","0.0031208568","63.065 ms","417722"
"org.eclipse.jetty.http.AbstractGenerator.flush(long)","0.0031138298","62.923 ms","25438"
"org.apache.thrift.transport.TFramedTransport.getBuffer()","0.0030976476","62.596 ms","1348797"
"cc.spray.connectors.ConnectorServlet.respond(javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse, cc.spray.http.HttpResponse)","0.003092897","62.5 ms","25446"
"cc.spray.HttpServiceLogic$class.handle(cc.spray.HttpServiceLogic, cc.spray.RequestContext)","0.0030883441","62.408 ms","25449"
"org.eclipse.jetty.server.handler.ContextHandler.checkContext(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletResponse)","0.0030790407","62.22 ms","137226"
"org.eclipse.jetty.io.ByteArrayBuffer$CaseInsensitive.<init>(byte[], int, int, int)","0.0030589988","61.815 ms","548915"
"com.google.common.collect.Iterables.get(Iterable, int)","0.0030548915","61.732 ms","25449"
"org.eclipse.jetty.http.HttpFields$3.hasMoreElements()","0.003034404","61.318 ms","685698"
"akka.actor.LocalActorRef.checkReceiveTimeout()","0.0030282678","61.194 ms","120050"
"org.apache.log4j.Category.callAppenders(org.apache.log4j.spi.LoggingEvent)","0.0030143126","60.912 ms","145754"
"cc.spray.http.parser.AcceptHeader$$anonfun$getMediaRange$1.<init>(org.parboiled.scala.Parser, String)","0.0029916973","60.455 ms","137230"
"org.eclipse.jetty.server.handler.ScopedHandler.never()","0.0029806618","60.232 ms","548904"
"org.eclipse.jetty.server.nio.SelectChannelConnector.persist(org.eclipse.jetty.io.EndPoint)","0.0029530486","59.674 ms","136770"
"org.eclipse.jetty.io.nio.ChannelEndPoint.close()","0.0029506732","59.626 ms","451"
"org.parboiled.scala.Parser$$anonfun$push$2.apply(Object)","0.0029377078","59.364 ms","137234"
"scala.Either.<init>()","0.0029303837","59.216 ms","411234"
"org.eclipse.jetty.io.AbstractBuffer.sliceFromMark(int)","0.0028574904","57.743 ms","137229"
"org.eclipse.jetty.io.AbstractBuffer.buffer()","0.0028455146","57.501 ms","877957"
"org.eclipse.jetty.io.nio.ChannelEndPoint.isBufferingOutput()","0.0028353205","57.295 ms","439256"
"org.parboiled.scala.parserunners.ReportingParseRunner.<init>(org.parboiled.parserunners.ReportingParseRunner)","0.0028329946","57.248 ms","411237"
"org.eclipse.jetty.server.Request.getInputStream()","0.0028238397","57.063 ms","137230"
"org.apache.log4j.Category.getEffectiveLevel()","0.002813101","56.846 ms","371281"
"org.eclipse.jetty.util.AttributesMap.setAttribute(String, Object)","0.002766089","55.896 ms","137225"
"scala.collection.immutable.HashMap.improve(int)","0.002761487","55.803 ms","537612"
"org.parboiled.scala.Parser$$anonfun$optional$1.apply(Object)","0.0027183348","54.931 ms","137234"
"akka.actor.LocalActorRef.mailbox()","0.0027091303","54.745 ms","189240"
"org.apache.cassandra.gms.Gossiper.makeRandomGossipDigest(java.util.List)","0.0026908203","54.375 ms","883"
"me.prettyprint.cassandra.model.HSlicePredicate.toThrift()","0.0026802798","54.162 ms","25449"
"cc.spray.http.parser.AcceptHeader$$anonfun$MediaRangeDef$1$$anonfun$apply$2.apply()","0.002670432","53.963 ms","137234"
"org.eclipse.jetty.io.ByteArrayBuffer.peek(int)","0.0026635535","53.824 ms","646000"
"org.eclipse.jetty.http.HttpFields$Field.<init>(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer)","0.0026516765","53.584 ms","736118"
"cc.spray.http.parser.BasicRules$$anonfun$Token$1$$anonfun$apply$1.apply(String)","0.0026456888","53.463 ms","274004"
"cc.spray.connectors.ConnectorServlet$$anonfun$responderFor$1.apply(cc.spray.RoutingResult)","0.0026434618","53.418 ms","25454"
"scala.collection.immutable.Stack.nonEmpty()","0.0026337625","53.222 ms","120057"
"cc.spray.directives.NumberMatcher.digits$1(String, Object)","0.0026317337","53.181 ms","25449"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher$$anon$4.processMailbox()","0.0025820492","52.177 ms","119990"
"org.eclipse.jetty.server.nio.SelectChannelConnector$SelectChannelHttpConnection.cancelTimeout(org.eclipse.jetty.util.thread.Timeout.Task)","0.0025745274","52.025 ms","162577"
"akka.actor.LocalActorRef.actor()","0.0025686384","51.906 ms","120058"
"org.slf4j.helpers.MessageFormatter.isEscapedDelimeter(String, int)","0.0025278619","51.082 ms","289912"
"org.eclipse.jetty.server.AbstractConnector.customize(org.eclipse.jetty.io.EndPoint, org.eclipse.jetty.server.Request)","0.0025241007","51.006 ms","137226"
"akka.event.slf4j.Slf4jEventHandler.akka$actor$Actor$$processingBehavior()","0.002480157","50.118 ms","137200"
"org.parboiled.support.DefaultValueStack.isEmpty()","0.0024642223","49.796 ms","411232"
"org.eclipse.jetty.io.ByteArrayBuffer.poke(int, org.eclipse.jetty.io.Buffer)","0.002444873","49.405 ms","76329"
"akka.actor.LocalActorRef.isShutdown()","0.0024280972","49.066 ms","120060"
"org.eclipse.jetty.http.HttpFields.add(String, String)","0.0024169134","48.84 ms","50891"
"cc.spray.http.HttpHeaders$Host.value()","0.002412212","48.745 ms","26009"
"org.apache.cassandra.db.MeteredFlusher.run()","0.002401424","48.527 ms","875"
"org.eclipse.jetty.http.HttpFields$4.<init>(org.eclipse.jetty.http.HttpFields, org.eclipse.jetty.http.HttpFields.Field)","0.0023952383","48.402 ms","548466"
"cc.spray.http.parser.AcceptHeader$$anonfun$MediaRangeDef$1$$anonfun$apply$3.apply()","0.0023902403","48.301 ms","137234"
"org.eclipse.jetty.http.HttpFields.convertValue(String)","0.00237292","47.951 ms","50893"
"scala.collection.JavaConversions$JListWrapper.<init>(java.util.List)","0.0023726725","47.946 ms","411231"
"akka.event.EventHandler$$anonfun$debug$1.apply()","0.0023653486","47.798 ms","26001"
"org.eclipse.jetty.util.Utf8Appendable.reset()","0.0023638145","47.767 ms","411678"
"org.apache.log4j.spi.LoggingEvent.<init>(String, org.apache.log4j.Category, org.apache.log4j.Priority, Object, Throwable)","0.0023615877","47.722 ms","145754"
"cc.spray.http.HttpIp.<init>(java.net.InetAddress)","0.002346247","47.412 ms","137229"
"org.apache.log4j.Priority.isGreaterOrEqual(org.apache.log4j.Priority)","0.0023393189","47.272 ms","371281"
"org.eclipse.jetty.server.HttpConnection.access$102(org.eclipse.jetty.server.HttpConnection, boolean)","0.0023191778","46.865 ms","274453"
"org.eclipse.jetty.server.HttpConnection.isResponseCommitted()","0.0023058166","46.595 ms","137232"
"org.eclipse.jetty.http.HttpURI.getPathAndParam()","0.0023034906","46.548 ms","137225"
"akka.actor.LocalActorRef.cancelReceiveTimeout()","0.0023004224","46.486 ms","240108"
"org.eclipse.jetty.http.HttpURI.clear()","0.002298542","46.448 ms","137226"
"akka.util.Switch.isOn()","0.0022939397","46.355 ms","189211"
"org.eclipse.jetty.io.AbstractBuffer.put(org.eclipse.jetty.io.Buffer)","0.0022743433","45.959 ms","101772"
"org.apache.thrift.transport.TFramedTransport.flush()","0.0022526681","45.521 ms","25449"
"org.parboiled.scala.rules.Rule1$.toRule(org.parboiled.scala.rules.Rule1)","0.0022517773","45.503 ms","411237"
