"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cc.spray.connectors.ConnectorServlet$$anonfun$1.apply(String)","0.03899277","787.95 ms","548472"
"org.parboiled.matchers.OneOrMoreMatcher.match(org.parboiled.MatcherContext)","0.038083903","769.584 ms","1096920"
"org.eclipse.jetty.io.nio.SelectChannelEndPoint.updateKey()","0.03742059","756.18 ms","137454"
"org.eclipse.jetty.http.HttpFields.add(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer)","0.035553124","718.443 ms","599348"
"org.eclipse.jetty.server.session.SessionHandler.checkRequestedSessionId(org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest)","0.033009227","667.037 ms","137226"
"org.eclipse.jetty.util.StringMap.getEntry(String, int, int)","0.032290637","652.516 ms","1697183"
"org.eclipse.jetty.io.AbstractBuffer.toString(String)","0.032024104","647.13 ms","411708"
"org.eclipse.jetty.io.ByteArrayBuffer.get()","0.030905908","624.534 ms","12343739"
"org.eclipse.jetty.server.HttpConnection$RequestHandler.startRequest(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer)","0.030590383","618.158 ms","137229"
"org.parboiled.matchers.ActionMatcher.match(org.parboiled.MatcherContext)","0.030521102","616.758 ms","1782157"
"com.github.siasia.LoggerBase.toString$1(Object)","0.029824087","602.673 ms","1097621"
"org.parboiled.matchers.AnyMatcher.match(org.parboiled.MatcherContext)","0.029747235","601.12 ms","2739531"
"org.parboiled.buffers.DefaultInputBuffer.charAt(int)","0.029633615","598.824 ms","11784440"
"sbt.BasicLogger.getLevel()","0.029104358","588.129 ms","3293354"
"org.parboiled.common.ImmutableList$RegularList.size()","0.028676301","579.479 ms","8907750"
"sbt.AbstractLogger.atLevel(scala.Enumeration.Value)","0.027900256","563.797 ms","3293354"
"sbt.MultiLogger.log(scala.Enumeration.Value, scala.Function0)","0.02635762","532.624 ms","1235114"
"org.parboiled.MatcherContext.createNode()","0.02609623","527.342 ms","10280296"
"org.eclipse.jetty.util.Utf8Appendable.appendByte(byte)","0.026044914","526.305 ms","4528458"
"org.parboiled.support.Characters.contains(char)","0.025016736","505.528 ms","3288451"
"com.github.siasia.LoggerBase.debug(String, scala.collection.Seq)","0.02486229","502.407 ms","1235110"
"org.eclipse.jetty.io.ByteArrayBuffer.equalsIgnoreCase(org.eclipse.jetty.io.Buffer)","0.024791721","500.981 ms","548002"
"org.parboiled.matchers.AnyOfMatcher.match(org.parboiled.MatcherContext)","0.024315119","491.35 ms","3288452"
"org.parboiled.parserunners.ReportingParseRunner.runBasicMatch(org.parboiled.buffers.InputBuffer)","0.023601279","476.925 ms","411237"
"com.example.mule.MulePen$.getEvseFree(long)","0.023577029","476.435 ms","25449"
"cc.spray.http.parser.SprayParser$class.parse(cc.spray.http.parser.SprayParser, org.parboiled.scala.rules.Rule1, String)","0.02322434","469.308 ms","411237"
"org.eclipse.jetty.io.PooledBuffers.returnBuffer(org.eclipse.jetty.io.Buffer)","0.022725618","459.23 ms","273354"
"akka.actor.Actor$class.apply(akka.actor.Actor, Object)","0.022683306","458.375 ms","120058"
"org.parboiled.support.DefaultValueStack.restoreSnapshot(Object)","0.022604326","456.779 ms","7947012"
"org.eclipse.jetty.server.HttpConnection.reset(boolean)","0.022558155","455.846 ms","137226"
"cc.spray.http.parser.SimpleHeaders$$anonfun$HOST$1$$anonfun$apply$4.apply(String)","0.021968277","443.926 ms","137234"
"cc.spray.RootService$$anonfun$receive$1.apply(Object)","0.021893604","442.417 ms","26009"
"org.parboiled.MatcherContext.<init>(org.parboiled.buffers.InputBuffer, org.parboiled.support.ValueStack, java.util.List, org.parboiled.MatchHandler, org.parboiled.MatcherContext, int, boolean)","0.0213302","431.032 ms","3564365"
"cc.spray.http.parser.AcceptHeader$class.getMediaRange(org.parboiled.scala.Parser, String, String)","0.020739038","419.086 ms","137230"
"org.parboiled.parserunners.BasicParseRunner.run(org.parboiled.buffers.InputBuffer)","0.020572465","415.72 ms","411237"
"org.parboiled.MatcherContext.advanceIndex(int)","0.020356903","411.364 ms","3974599"
"org.eclipse.jetty.server.HttpConnection$RequestHandler.parsedHeader(org.eclipse.jetty.io.Buffer, org.eclipse.jetty.io.Buffer)","0.020040834","404.977 ms","548458"
"cc.spray.http.HttpHeader.toString()","0.019793402","399.977 ms","103939"
"org.eclipse.jetty.http.HttpURI.toUtf8String(int, int)","0.019775933","399.624 ms","411678"
"org.eclipse.jetty.util.StringMap.getBestEntry(byte[], int, int)","0.019499157","394.031 ms","548457"
"org.eclipse.jetty.server.HttpConnection$RequestHandler.headerComplete()","0.019119399","386.357 ms","137228"
"com.github.siasia.Jetty7Runner$DelegatingLogger.debug(String, Object[])","0.018927243","382.474 ms","1235156"
"org.eclipse.jetty.webapp.WebAppContext.toString()","0.018473651","373.308 ms","274446"
"org.eclipse.jetty.server.AsyncContinuation.doComplete(Throwable)","0.01826952","369.183 ms","137228"
"org.parboiled.matchers.CharMatcher.match(org.parboiled.MatcherContext)","0.018105472","365.868 ms","3973687"
"akka.actor.LocalActorRef.invoke(akka.dispatch.MessageInvocation)","0.018044455","364.635 ms","120060"
"org.eclipse.jetty.util.Utf8Appendable.append(byte[], int, int)","0.017379854","351.205 ms","411678"
"com.github.siasia.LoggerBase$$anonfun$debug$4.apply()","0.017101988","345.59 ms","1235106"
"org.parboiled.support.Characters.indexOf(char[], char)","0.017101146","345.573 ms","3288450"
"com.github.siasia.LoggerBase$$anonfun$com$github$siasia$LoggerBase$$format$1.apply(Object, Object)","0.016966198","342.846 ms","2195509"
"org.parboiled.matchers.CharRangeMatcher.match(org.parboiled.MatcherContext)","0.016783148","339.147 ms","3562905"
"org.parboiled.support.DefaultValueStack.push(Object)","0.016767906","338.839 ms","1919388"
"org.parboiled.MatcherContext.<init>(org.parboiled.buffers.InputBuffer, org.parboiled.support.ValueStack, java.util.List, org.parboiled.MatchHandler, org.parboiled.matchers.Matcher, boolean)","0.016486773","333.158 ms","411237"
"cc.spray.directives.SprayRoute$$anonfun$fromRouting$1.apply(cc.spray.RequestContext)","0.016483556","333.093 ms","101793"
"org.eclipse.jetty.io.AbstractBuffer.clear()","0.016481824","333.058 ms","760480"
"cc.spray.http.HttpHeaders$Host$$anonfun$value$2.apply(int)","0.01631278","329.642 ms","26009"
"cc.spray.connectors.ConnectorServlet.requestContext(javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse, scala.Function1)","0.016266214","328.701 ms","137234"
"org.eclipse.jetty.io.AbstractBuffer.length()","0.016068812","324.712 ms","5755937"
"org.parboiled.parserunners.AbstractParseRunner.createParsingResult(boolean, org.parboiled.MatcherContext)","0.016059607","324.526 ms","411234"
"org.eclipse.jetty.util.Utf8Appendable.isUtf8SequenceComplete()","0.015997948","323.28 ms","4940136"
"akka.dispatch.ExecutorBasedEventDrivenDispatcher.registerForExecution(akka.dispatch.MessageQueue)","0.01590615","321.425 ms","189244"
"org.parboiled.common.Preconditions.checkArgNotNull(Object, String)","0.015879279","320.882 ms","6991494"
"org.parboiled.scala.parserunners.ReportingParseRunner.run(org.parboiled.scala.Input)","0.015846074","320.211 ms","411237"
"org.parboiled.common.Preconditions.checkArgument(boolean)","0.015774814","318.771 ms","7398448"
"org.eclipse.jetty.io.AbstractBuffer.duplicate(int)","0.015690489","317.067 ms","548895"
"scala.collection.mutable.HashTable$class.findEntry(scala.collection.mutable.HashTable, Object)","0.01544281","312.062 ms","437146"
"com.github.siasia.LoggerBase$$anonfun$debug$4.<init>(com.github.siasia.LoggerBase, String, scala.collection.Seq)","0.0152464975","308.095 ms","1235110"
"org.parboiled.matchers.ZeroOrMoreMatcher.match(org.parboiled.MatcherContext)","0.015195329","307.061 ms","822927"
"org.eclipse.jetty.io.View.array()","0.01513248","305.791 ms","1645373"
"org.parboiled.scala.rules.Rule$$anonfun$stack1$1.apply(org.parboiled.Context)","0.014930824","301.716 ms","959235"
"org.eclipse.jetty.io.nio.SelectorManager$SelectSet.addChange(Object)","0.014738223","297.824 ms","137435"
"org.eclipse.jetty.io.BufferCache.lookup(org.eclipse.jetty.io.Buffer)","0.014445016","291.899 ms","822463"
"org.slf4j.helpers.MessageFormatter.safeObjectAppend(StringBuffer, Object)","0.01443126","291.621 ms","289912"
"scala.collection.immutable.HashMap$HashTrieMap.get0(Object, int, int)","0.01442255","291.445 ms","672015"
"com.github.siasia.LoggerBase$$anonfun$1.apply(Object)","0.014375686","290.498 ms","1097621"
"akka.actor.Actor$class.gd13$1(akka.actor.Actor, Object, scala.collection.immutable.Stack)","0.014335849","289.693 ms","120058"
"org.parboiled.parserunners.AbstractParseRunner.resetValueStack()","0.014313828","289.248 ms","822474"
"sbt.ConsoleLogger.labelColor(scala.Enumeration.Value)","0.014229949","287.553 ms","1235116"
"org.parboiled.scala.rules.Rule$$anonfun$4.apply(Object, Object)","0.014192438","286.795 ms","1508171"
"org.eclipse.jetty.io.BufferCache.getBest(byte[], int, int)","0.014025174","283.415 ms","548458"
"org.eclipse.jetty.io.nio.ChannelEndPoint.isInputShutdown()","0.013987911","282.662 ms","416337"
"org.eclipse.jetty.io.AbstractBuffer.setGetIndex(int)","0.013887107","280.625 ms","4454409"
"me.prettyprint.cassandra.serializers.StringSerializer.toByteBuffer(String)","0.013884188","280.566 ms","76347"
"org.eclipse.jetty.server.handler.HandlerWrapper.handle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.01386662","280.211 ms","137226"
"org.eclipse.jetty.io.AbstractBuffer.setPutIndex(int)","0.013814461","279.157 ms","4785236"
"org.eclipse.jetty.io.ByteArrayBuffer.compact()","0.013512941","273.064 ms","137217"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run()","0.0133846225","270.471 ms","10835"
"org.eclipse.jetty.util.Scanner.reportDifferences(java.util.Map, java.util.Map)","0.013283226","268.422 ms","296"
"org.eclipse.jetty.server.Request.recycle()","0.013247843","267.707 ms","137226"
"cc.spray.http.HttpHeaders$$anonfun$parseFromRaw$1.apply(scala.Product2)","0.013212014","266.983 ms","548471"
"org.parboiled.parserunners.AbstractParseRunner.createRootContext(org.parboiled.buffers.InputBuffer, org.parboiled.MatchHandler, boolean)","0.013190686","266.552 ms","411237"
"org.apache.log4j.Category.isDebugEnabled()","0.013021839","263.14 ms","221977"
"org.parboiled.parserunners.AbstractParseRunner.getParseErrors()","0.012997293","262.644 ms","1233708"
"org.eclipse.jetty.http.HttpFields.getField(String)","0.012946718","261.622 ms","548466"
"org.eclipse.jetty.io.AbstractBuffer.hashCode()","0.012909406","260.868 ms","822458"
"org.parboiled.support.DefaultValueStack.pop(int, org.parboiled.support.DefaultValueStack.Element)","0.0128713995","260.1 ms","1508171"
"org.eclipse.jetty.server.Request.getCookies()","0.012843539","259.537 ms","137226"
"com.github.siasia.LoggerBase$$anonfun$debug$4.apply()","0.0128383925","259.433 ms","1235106"
"scala.runtime.AbstractFunction0.<init>()","0.012759214","257.833 ms","3997686"
"org.parboiled.matchers.StringMatcher.match(org.parboiled.MatcherContext)","0.012726257","257.167 ms","548926"
"org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle()","0.012606301","254.743 ms","136593"
"org.parboiled.support.ParsingResult.<init>(boolean, org.parboiled.Node, org.parboiled.support.ValueStack, java.util.List, org.parboiled.buffers.InputBuffer)","0.012419194","250.962 ms","411232"
"sbt.Logger$class.debug(sbt.Logger, scala.Function0)","0.012272763","248.003 ms","1235112"
"org.parboiled.parserunners.ReportingParseRunner.run(org.parboiled.buffers.InputBuffer)","0.0120139","242.772 ms","411237"
"org.eclipse.jetty.io.AbstractBuffer.asArray()","0.011982476","242.137 ms","548915"
"org.eclipse.jetty.server.AsyncContinuation.scheduleTimeout()","0.011841886","239.296 ms","136629"
"org.eclipse.jetty.io.AbstractBuffer.asImmutableBuffer()","0.011840698","239.272 ms","1335892"
"org.eclipse.jetty.http.HttpGenerator.flushBuffer()","0.011702978","236.489 ms","188217"
"org.eclipse.jetty.server.AsyncContinuation.handling()","0.011639883","235.214 ms","273959"
"org.eclipse.jetty.server.handler.ScopedHandler.handle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.011628303","234.98 ms","274452"
"org.eclipse.jetty.io.nio.ChannelEndPoint.fill(org.eclipse.jetty.io.Buffer)","0.011619544","234.803 ms","3099"
"org.parboiled.matchers.ActionMatcher.getSubContext(org.parboiled.MatcherContext)","0.011543632","233.269 ms","1782156"
"org.eclipse.jetty.io.BufferCache.getOrdinal(org.eclipse.jetty.io.Buffer)","0.011534278","233.08 ms","2209081"
"org.eclipse.jetty.server.handler.ContextHandler.doHandle(String, org.eclipse.jetty.server.Request, javax.servlet.http.HttpServletRequest, javax.servlet.http.HttpServletResponse)","0.011220733","226.744 ms","137226"
"org.eclipse.jetty.http.HttpFields.getValues(org.eclipse.jetty.io.Buffer)","0.011218754","226.704 ms","137224"
"org.eclipse.jetty.util.BlockingArrayQueue.offer(Object)","0.0111541245","225.398 ms","25289"
"org.parboiled.parserunners.AbstractParseRunner.<init>(org.parboiled.Rule)","0.011142298","225.159 ms","822474"
"org.parboiled.parserunners.AbstractParseRunner.getValueStack()","0.011135567","225.023 ms","2056182"
"org.parboiled.scala.ParsingResult.<init>(org.parboiled.support.ParsingResult)","0.011125274","224.815 ms","411234"
"org.parboiled.scala.parserunners.ReportingParseRunner$.apply(org.parboiled.scala.rules.Rule1)","0.011119336","224.695 ms","411237"
"org.eclipse.jetty.io.AbstractBuffers.isHeader(org.eclipse.jetty.io.Buffer)","0.011028875","222.867 ms","273354"
"akka.dispatch.ExecutableMailbox$class.processMailbox(akka.dispatch.ExecutableMailbox)","0.010974588","221.77 ms","119990"
"sbt.AbstractLogger.debug(scala.Function0)","0.010964295","221.562 ms","1235115"
"scala.collection.mutable.ArrayBuffer.toList()","0.010937423","221.019 ms","1235117"
"scala.collection.Iterator$class.seq(scala.collection.Iterator)","0.010921687","220.701 ms","2606435"
"org.eclipse.jetty.server.HttpConnection.setCurrentConnection(org.eclipse.jetty.server.HttpConnection)","0.010888333","220.027 ms","274198"
